matricola,nome,attivita,ore,costo_orario,percentuale
001,Mario Rossi,REC-001,64.0,18.5,0.41
001,Mario Rossi,REC-002,94.0,18.5,0.59
002,Luigi Verdi,REC-003,51.3,19.0,0.34
002,Luigi Verdi,REC-004,97.7,19.0,0.66
003,Anna Neri,HSK-001,10.9,16.5,0.07
003,Anna Neri,HSK-002,61.5,16.5,0.42
003,Anna Neri,HSK-003,72.6,16.5,0.5
004,Sofia Gialli,HSK-001,80.3,16.5,0.57
004,Sofia Gialli,HSK-002,61.7,16.5,0.43
005,Carlo Blu,FNB-001,75.7,22.0,0.52
005,Carlo Blu,FNB-002,70.3,22.0,0.48
006,Elena Bianchi,FNB-003,77.1,21.5,0.48
006,Elena Bianchi,FNB-004,81.9,21.5,0.52
007,Marco Viola,MNT-001,71.4,20.0,0.51
007,Marco Viola,MNT-002,69.6,20.0,0.49
