matricola,nome,attivita,ore,costo_orario,percentuale
EMP001,Mario Rossi,RECEPTION_CHECKIN,8,25.00,100
EMP002,Laura Bianchi,RECEPTION_CHECKOUT,8,25.00,100
EMP003,Giuseppe Verdi,HOUSEKEEPING_ROOM,7,22.00,100
EMP004,Anna Neri,HOUSEKEEPING_PUBLIC,6,22.00,100
EMP005,Marco Giallini,FOOD_SERVICE_BREAKFAST,5,20.00,100
EMP006,Francesca Rossi,FOOD_SERVICE_LUNCH,6,20.00,100
EMP007,Alberto Ferrini,FOOD_SERVICE_DINNER,6,20.00,100
EMP008,Sofia Moretti,BAR_SERVICE,5,20.00,100
EMP009,Davide Lombardi,SPA_THERAPIST,6,28.00,100
EMP010,Elena Conti,MAINTENANCE_TECHNICIAN,7,24.00,100
